,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
22,"frozenset({'ChildBks', 'ItalCook'})",frozenset({'CookBks'}),0.085,0.431,0.085,1.0,2.320185614849188,0.048365000000000005,inf
23,"frozenset({'ItalCook', 'CookBks'})",frozenset({'ChildBks'}),0.1135,0.423,0.085,0.748898678414097,1.7704460482602766,0.03698950000000001,2.2978771929824564
24,frozenset({'ItalCook'}),"frozenset({'ChildBks', 'CookBks'})",0.1135,0.256,0.085,0.748898678414097,2.925385462555066,0.05594400000000001,2.962947368421053
25,"frozenset({'DoItYBks', 'RefBks'})",frozenset({'ChildBks'}),0.1055,0.423,0.09,0.8530805687203792,2.0167389331451044,0.0453735,3.927322580645162
26,"frozenset({'ArtBks', 'DoItYBks'})",frozenset({'ChildBks'}),0.1235,0.423,0.095,0.7692307692307693,1.8185124568103292,0.042759500000000006,2.5003333333333337
27,"frozenset({'GeogBks', 'DoItYBks'})",frozenset({'ChildBks'}),0.1325,0.423,0.1045,0.7886792452830188,1.8644899415674203,0.048452499999999996,2.7304464285714274
28,"frozenset({'DoItYBks', 'ItalCook'})",frozenset({'ChildBks'}),0.0585,0.423,0.046,0.7863247863247863,1.8589238447394476,0.0212545,2.7003599999999994
29,"frozenset({'ArtBks', 'RefBks'})",frozenset({'ChildBks'}),0.0895,0.423,0.076,0.8491620111731844,2.007475203719112,0.0381415,3.8252962962962958
30,"frozenset({'GeogBks', 'RefBks'})",frozenset({'ChildBks'}),0.1105,0.423,0.094,0.8506787330316742,2.0110608345902463,0.0472585,3.8641515151515144
31,"frozenset({'ItalCook', 'RefBks'})",frozenset({'ChildBks'}),0.0465,0.423,0.0415,0.89247311827957,2.1098655278476834,0.021830500000000003,5.366100000000005
32,"frozenset({'ArtBks', 'GeogBks'})",frozenset({'ChildBks'}),0.1275,0.423,0.102,0.7999999999999999,1.8912529550827422,0.04806749999999999,2.884999999999999
33,"frozenset({'ArtBks', 'ItalCook'})",frozenset({'ChildBks'}),0.0565,0.423,0.0455,0.8053097345132743,1.903805518943911,0.021600499999999998,2.9636818181818168
34,"frozenset({'GeogBks', 'ItalCook'})",frozenset({'ChildBks'}),0.064,0.423,0.0525,0.8203125,1.93927304964539,0.025428,3.2111304347826084
35,"frozenset({'YouthBks', 'DoItYBks'})",frozenset({'CookBks'}),0.1155,0.431,0.095,0.8225108225108225,1.908377778447384,0.0452195,3.2058292682926828
36,"frozenset({'YouthBks', 'RefBks'})",frozenset({'CookBks'}),0.0965,0.431,0.0775,0.8031088082901554,1.8633615041534928,0.035908499999999996,2.8899210526315784
37,"frozenset({'ArtBks', 'YouthBks'})",frozenset({'CookBks'}),0.101,0.431,0.081,0.8019801980198019,1.8607429188394475,0.037469,2.8734499999999987
